weather_code,weather_description
0,clear sky
1,mainly clear
2,partly cloudy
3,overcast
45,fog
48,depositing rime fog
51,drizzle: light intensity
53,drizzle: moderate intensity
55,drizzle: dense intensity
56,freezing drizzle: light intensity
57,freezing drizzle: dense intensity
61,rain: slight intensity
63,rain: moderate intensity
65,rain: heavy intensity
66,freezing rain: light intensity
67,freezing rain: heavy intensity
71,snow fall: slight intensity
73,snow fall: moderate intensity
75,snow fall: heavy intensity
77,snow grains
80,rain showers: slight
81,rain showers: moderate
82,rain showers: violent
85,snow showers: slight
86,snow showers: heavy
95,thunderstorm: slight or moderate
96,thunderstorm with hail: slight
99,thunderstorm with hail: heavy
